UNITS IN STRUCTURE,,,,,,,,,,YEAR BUILT,,,,,,,,,,,BEDROOMS,,,,,,
Total housing units2,"1-unit, detached (%)","1-unit, attached (%)",2 units (%),3 or 4 units (%),5 to 9 units (%),10 to 19 units (%),20 or more units (%),Mobile home (%),"Boat, RV, van, etc. (%)",Total housing units3,Built 2020 or later (%),Built 2010 to 2019 (%),Built 2000 to 2009 (%),Built 1990 to 1999 (%),Built 1980 to 1989 (%),Built 1970 to 1979 (%),Built 1960 to 1969 (%),Built 1950 to 1959 (%),Built 1940 to 1949 (%),Built 1939 or earlier (%),Total housing units4,No bedroom (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 bedrooms (%),5 or more bedrooms (%)
3655,31.3,14.9,5.1,10.5,9.6,7.7,20.1,0.8,0,3655,0,0.6,7.9,6.3,6.8,18,17.5,20.9,16.3,5.8,3655,5.7,17.2,32.4,35.3,7.6,1.9
3805,10.2,4.4,0.3,4.6,12,37,31.5,0,0,3805,0,0,0.3,0.4,2.2,3.8,9.9,15.1,64.6,3.6,3805,1.4,13.3,44.7,33.8,4.3,2.5
15239,39.4,20.9,3,10.8,7.5,12.2,5.9,0.3,0,15239,0.1,0.6,5.3,4,6.6,10.1,19.2,18.3,26.6,9.2,15239,4.6,14.5,35,39.1,5.5,1.2
11470,39.3,10.9,3.6,7,6.7,5.1,27.5,0,0,11470,0,1.8,3.7,5.7,9.4,13.6,30.5,18.2,13.8,3.4,11470,8.3,15.1,23.5,44,7.2,1.8
10117,25.4,3,1,3.3,8.2,8.6,50.5,0,0,10117,0,1,6.8,8.7,16,14.6,19.1,15.6,15.2,3,10117,8.2,15.7,23.9,43.3,7.8,1.1
8835,56.3,14.6,8.8,8.7,2.9,0.8,8,0,0,8835,0,0.5,1,1.7,1.8,9.1,19.7,36.4,26.1,3.7,8835,6.4,5.7,22.7,50.3,12.7,2.1
17137,44.9,11.5,6.7,6.4,8.9,5.7,15.6,0.3,0,17137,0,0.8,2,4.1,7.5,17.5,25.7,30.8,9.2,2.3,17137,4.4,10.2,23.9,48.4,11.6,1.6
13767,44,10,2.1,4.6,12.8,10.7,15.7,0,0,13767,0,0.5,2.6,3.8,5.7,14.7,35.4,26.6,7.9,2.8,13767,3.6,11.6,23.5,51,7.6,2.6
23858,45.4,8.7,2.2,4.7,10.8,9.5,18.5,0.1,0,23858,0,0.8,3.6,6.9,6.4,23.4,34.2,18.8,3.5,2.3,23858,3.4,8.6,17.8,54.6,12.7,2.8
5059,22.5,2.7,3.9,13.4,22.7,15.3,19.4,0,0,5059,0,0,7.4,3.3,4.3,5.1,20.3,26.4,15.9,17.3,5059,31.6,17.7,24.3,19.7,5,1.7
44172,65.1,6.6,3.1,2.4,6.4,5.8,10.4,0.2,0,44172,0.1,0.4,8.7,15.2,16.6,23.3,21.2,9.7,3.3,1.5,44172,1.7,4.8,18.9,50,21.2,3.4
7318,48.2,6.4,1.8,5.1,6.2,2.9,29.4,0,0,7318,0,0.5,1.9,2.3,9.6,23.4,32.3,25.1,3,1.9,7318,4.3,8.3,22.5,40.5,21.3,3.1
45,100,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,37.8,0,62.2,0,45,0,0,0,77.8,22.2,0
31608,68.5,12.1,7.3,4.4,4.5,0.4,2.3,0.5,0,31608,0.1,1.4,9.4,11,21.1,30.2,20.2,3.7,2,1,31608,1.5,4.8,15,57.6,19.5,1.6
0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
195,47.7,2.6,30.3,7.7,6.2,0,5.6,0,0,195,0,0,8.7,11.8,6.7,13.3,15.9,23.1,5.1,15.4,195,0,10.8,39.5,41,8.7,0
3855,59.8,19.3,12.3,4.6,0.8,0.5,2.5,0.3,0,3855,0,3.1,6.5,11.9,14.4,22.1,23.9,10.1,5.4,2.5,3855,1.9,8.9,19.7,58.4,9.6,1.6
26175,81.5,12.6,0.4,0.6,1.5,0.9,1.9,0.6,0,26175,0.1,1.8,17.2,24.9,16.8,19.6,10.1,5.4,3.2,1.1,26175,0.8,2.1,13.9,56.9,24.6,1.6
30623,64.6,19,2.8,4.5,4.3,1.3,2.7,0.6,0,30623,0.1,1.2,10.5,10.3,12.6,18.2,26.2,18,2.4,0.7,30623,2,4.2,15.9,61.4,14.6,2
17948,63.7,15.6,2.2,4.7,6.1,3.7,4,0.1,0,17948,0.1,0.4,5.2,10.8,11.7,28.8,27.6,11.2,3.2,1.2,17948,1.3,2.8,9.8,59.9,23.3,2.9
21681,54.3,15.1,5.6,7.4,6.1,3,8.3,0.1,0,21681,0,1.2,4.7,15.2,14,18,26.2,14.8,3.2,2.8,21681,2.1,7.2,15.8,57,15.7,2.2
0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
13127,55.7,13.3,4.8,4.5,8.7,7.4,5.2,0.3,0,13127,0,0.7,7.7,10.7,15.7,32.8,21.1,7.9,1.9,1.6,13127,1.7,5.9,14.4,51.8,23.9,2.3
9449,59.1,16,2.7,4.4,6.3,5.3,5.7,0.3,0.2,9449,0,1.1,4.9,8.7,18.1,21,25.1,14,6.1,1,9449,2.9,6.9,24.4,53.7,10.2,1.8
